Date : 2025-03-30 15:48:02
Directory : d:\Projects\Advenro\Advenro
Total : 466 files,  75866 codes, 10487 comments, 10345 blanks, all 96698 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Projects\Advenro\Advenro\deployment\src\models\Hotel.js                              | JavaScript   |         75 |         57 |          4 |        136 |
| d:\Projects\Advenro\Advenro\deployment\src\models\Notification.js                       | JavaScript   |         73 |          3 |          5 |         81 |
| d:\Projects\Advenro\Advenro\deployment\src\models\Review.js                             | JavaScript   |        108 |         54 |         11 |        173 |
| d:\Projects\Advenro\Advenro\deployment\src\models\SystemConfig.js                       | JavaScript   |         46 |          1 |          3 |         50 |
| d:\Projects\Advenro\Advenro\deployment\src\models\Tour.js                               | JavaScript   |         88 |         52 |          5 |        145 |
| d:\Projects\Advenro\Advenro\deployment\src\models\User.js                               | JavaScript   |        250 |         80 |         29 |        359 |
| d:\Projects\Advenro\Advenro\deployment\src\models\index.js                              | JavaScript   |         36 |          3 |          3 |         42 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\admin.js                              | JavaScript   |         19 |        302 |         14 |        335 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\auth.js                               | JavaScript   |         18 |        289 |         13 |        320 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\bookingCom.js                         | JavaScript   |         83 |        632 |         28 |        743 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\bookings.js                           | JavaScript   |         34 |          5 |          6 |         45 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\docs.routes.js                        | JavaScript   |        143 |         11 |         21 |        175 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\flights.js                            | JavaScript   |         19 |        214 |          8 |        241 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\hotel.routes.js                       | JavaScript   |         12 |        313 |          7 |        332 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\hotels.js                             | JavaScript   |         19 |        170 |          8 |        197 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\reviews.js                            | JavaScript   |         17 |          2 |          3 |         22 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\tours.js                              | JavaScript   |         21 |        235 |          8 |        264 |
| d:\Projects\Advenro\Advenro\deployment\src\routes\users.js                              | JavaScript   |         19 |          2 |          3 |         24 |
| d:\Projects\Advenro\Advenro\deployment\src\scripts\createAdmin.js                       | JavaScript   |         36 |          5 |         10 |         51 |
| d:\Projects\Advenro\Advenro\deployment\src\scripts\test-admin-endpoints.ps1             | PowerShell   |         64 |          8 |         14 |         86 |
| d:\Projects\Advenro\Advenro\deployment\src\server.js                                    | JavaScript   |        106 |         20 |         22 |        148 |
| d:\Projects\Advenro\Advenro\deployment\src\server\controllers\auth.controller.js        | JavaScript   |        415 |         33 |         58 |        506 |
| d:\Projects\Advenro\Advenro\deployment\src\server\controllers\booking.controller.js     | JavaScript   |        445 |         27 |         59 |        531 |
| d:\Projects\Advenro\Advenro\deployment\src\server\controllers\destination.controller.js | JavaScript   |        609 |         31 |         96 |        736 |
| d:\Projects\Advenro\Advenro\deployment\src\server\controllers\hotel.controller.js       | JavaScript   |        534 |         31 |         74 |        639 |
| d:\Projects\Advenro\Advenro\deployment\src\server\middleware\auth.js                    | JavaScript   |         65 |          6 |          9 |         80 |
| d:\Projects\Advenro\Advenro\deployment\src\server\middleware\error.js                   | JavaScript   |         51 |         10 |         10 |         71 |
| d:\Projects\Advenro\Advenro\deployment\src\server\middleware\upload.js                  | JavaScript   |         25 |          4 |          4 |         33 |
| d:\Projects\Advenro\Advenro\deployment\src\server\middleware\validate.js                | JavaScript   |        166 |          3 |         17 |        186 |
| d:\Projects\Advenro\Advenro\deployment\src\server\middleware\validation.js              | JavaScript   |         51 |          6 |          7 |         64 |
| d:\Projects\Advenro\Advenro\deployment\src\server\models\booking.js                     | JavaScript   |        113 |          6 |         15 |        134 |
| d:\Projects\Advenro\Advenro\deployment\src\server\models\hotel.js                       | JavaScript   |        183 |          3 |          5 |        191 |
| d:\Projects\Advenro\Advenro\deployment\src\server\models\index.js                       | JavaScript   |         10 |          0 |          1 |         11 |
| d:\Projects\Advenro\Advenro\deployment\src\server\models\review.js                      | JavaScript   |         73 |          4 |          6 |         83 |
| d:\Projects\Advenro\Advenro\deployment\src\server\models\user.js                        | JavaScript   |        101 |          5 |          8 |        114 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\auth.routes.js                 | JavaScript   |         17 |          2 |          3 |         22 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\booking.routes.js              | JavaScript   |         20 |          4 |          5 |         29 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\contact.routes.js              | JavaScript   |         71 |          6 |         16 |         93 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\destination.routes.js          | JavaScript   |         34 |          4 |          5 |         43 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\docs.routes.js                 | JavaScript   |         56 |          6 |          6 |         68 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\hotel.routes.js                | JavaScript   |         26 |          6 |          7 |         39 |
